dataset,sample_size,k,clustering_method,percentage_above_threshold,mean_ratio,min_ratio,max_ratio,mean_offset,mean_fill_distance,threshold
MNIST,500,13,kmeans,41.935483870967744,0.60897101086313,0.08833405852390301,1.5595079638509532,50.92107642531281,67.55981106228299,0.5
MNIST,500,14,kmeans,36.61971830985916,0.5924229296824773,0.08833405852390301,2.0525912201870287,49.17379402419304,65.65762557983399,0.5
MNIST,500,15,kmeans,44.44444444444444,0.6384128045750117,0.08833405852390301,2.0525912201870287,51.55664525175909,62.56294111772017,0.5
MNIST,500,16,kmeans,40.21739130434783,0.6180817558663626,0.08833405852390301,2.0525912201870287,49.67339649483534,60.92740694681803,0.5
MNIST,500,17,kmeans,39.42307692307692,0.5994446090178541,0.08833405852390301,2.0475723730198454,48.63668802296344,59.954116527850815,0.5
MNIST,500,18,kmeans,46.15384615384615,0.6763926864261958,0.10211152899923898,2.0790944533377544,51.44923015899638,58.622742872971756,0.5
MNIST,500,19,kmeans,40.76923076923077,0.64814235010792,0.12120987610082722,2.0475723730198454,49.694409744922744,57.32021577017648,0.5
MNIST,500,20,kmeans,42.36111111111111,0.6548286207005126,0.12120987610082722,2.0475723730198454,49.11596251765048,55.132860310872395,0.5
MNIST,250,2,kmeans,0.0,0.1434159560162198,0.1434159560162198,0.1434159560162198,15.50160038343707,88.84530258178711,0.5
MNIST,250,3,kmeans,0.0,0.17456684494189265,0.13845061062473582,0.20143675246790335,17.675697654646086,86.76964696248372,0.5
MNIST,250,4,kmeans,50.0,0.5075575221658933,0.13845061062473582,1.1021847499012585,41.67564709792318,83.53929011027019,0.5
MNIST,250,5,kmeans,33.33333333333333,0.4462924162060264,0.13845061062473582,1.0366270705983298,38.98446043886586,74.77852439880371,0.5
MNIST,250,6,kmeans,23.076923076923077,0.39581997831433735,0.14788114084143675,1.0366270705983298,36.06229201160649,75.40528106689453,0.5
MNIST,250,7,kmeans,44.44444444444444,0.5233920949547817,0.14788114084143675,1.3595187257699834,42.30062208749536,72.34548416137696,0.5
MNIST,250,8,kmeans,40.0,0.5389877412421815,0.09297368842279384,1.3964698365531665,40.303705319944676,70.52323150634766,0.5
MNIST,250,9,kmeans,35.483870967741936,0.5093753997643479,0.09297368842279384,1.3964698365531665,38.72645190291227,66.35371507917132,0.5
MNIST,250,10,kmeans,34.21052631578947,0.5057896676658803,0.09297368842279384,1.3964698365531665,38.42592445967415,62.07604932785034,0.5
MNIST,250,11,kmeans,32.608695652173914,0.49159083785440844,0.13654956400623633,1.3964698365531665,37.26801727457755,59.812127855088974,0.5
MNIST,250,12,kmeans,43.63636363636363,0.6952819299824198,0.18808153121124865,2.747837421327337,46.11525513396686,56.99786631266276,0.5
MNIST,250,13,kmeans,51.5625,0.789827605565708,0.20267347614262304,2.747837421327337,50.326289932417325,55.42018381754557,0.5
MNIST,250,14,kmeans,60.273972602739725,0.8374867352031306,0.20267347614262304,2.747837421327337,52.09896437400422,53.99705462985568,0.5
MNIST,250,15,kmeans,57.3170731707317,0.8164278246932617,0.12785318762394307,2.747837421327337,50.12330590710676,51.921913146972656,0.5
MNIST,250,16,kmeans,61.95652173913043,0.810319066638703,0.12785318762394307,2.747837421327337,49.976584013901025,50.84386582808061,0.5
MNIST,250,17,kmeans,66.99029126213593,0.8071000798687912,0.12785318762394307,2.747837421327337,49.18749845591134,49.873095194498696,0.5
MNIST,250,18,kmeans,66.95652173913044,0.7803165249010388,0.12785318762394307,2.747837421327337,47.91544137953256,48.32406850961539,0.5
MNIST,250,19,kmeans,63.28125,0.7737862764042306,0.21336455398586862,2.747837421327337,46.88663009760805,47.94440432957241,0.5
MNIST,250,20,kmeans,68.30985915492957,0.8844839632205529,0.22374711371980155,2.747837421327337,49.67092989551041,46.016967500959126,0.5
